OBJECTID,GLOBAL_ID,IDENT,TYPE_CODE,LEVEL_,WKHR_CODE,WKHR_RMK,MAA_VAL,MAA_UOM,MEA_E_VAL,MEA_E_UOM,MEA_W_VAL,MEA_W_UOM,GMEA_E_VAL,GMEA_E_UOM,GMEA_W_VAL,GMEA_W_UOM,DMEA_VAL,DMEA_UOM,MOCA_VAL,MOCA_UOM,MEAGAP,TRUETRK,MAGTRK,REVTRUETRK,REVMAGTRK,NMAGTRK,NREVMAGTRK,LENGTH_VAL,COPDIST,COPNAV_ID,REPATCSTAR,REPATCEND,DIRECTION,FREQ_CLASS,STATUS,STARTPT_ID,ENDPT_ID,RTPORT_ID,ENRINFO_ID,WIDTHRIGHT,WIDTHLEFT,WIDTH_UOM,MCA1_VAL,MCA1_UOM,MCA1_DIR,MCA2_VAL,MCA2_UOM,MCA2_DIR,MCAPT_ID,MCAPT_TYPE,TFLAG_CODE,REMARKS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,SHAPE_LENGTH
14949,82AA6182-7E5E-4F14-85DE-CB5BBB475279,Y313,OCEAN,U,As specified in remarks,,60000,FT,999999,FT,999999,FT,18000,FT,999999,FT,,FT,999999,FT,0,16.2,25.61,196.37,206.07,,,56.76,,,R,R,W,A,,91007717-C8CF-4670-91E6-8109601142A7,7CAC419A-6425-4DC6-8CDE-C2E2CAB46753,A6916F4F-A16B-4981-B048-3F381D0DCA22,9A23EA31-C318-4D97-A9EE-3DCDA97CE202,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.96302001232637
14950,ADDE0C63-AB6C-4C3C-BAF0-B3FB16D89725,T227,RNAV,L,,,17500,FT,999999,FT,999999,FT,5700,FT,999999,FT,,FT,999999,FT,0,44.17,30.85,224.69,211.91,,,26.49,,,R,R,,,,738351A8-5A88-4334-8C1C-EDF1DE0A8634,1035BBAA-5D1E-4D95-AFF9-A1669A18979A,D003A397-9ABD-45D0-A950-0B3E5E865C17,36A77C79-21AE-4646-96F0-02A718377050,4,4,NM,999999,,,999999,,,,,3,,1,0,0,0,0,0,0.67861511706264
14951,DC308461-7237-48F8-BEBC-1E2284A762ED,T227,RNAV,L,,,17500,FT,999999,FT,999999,FT,3800,FT,999999,FT,,FT,3000,FT,0,57.42,48.03,240.25,229.48,,,132.55,,,R,R,,,,775A1BAC-0D9D-4157-8CCB-69911EDAED63,441B7AE7-47ED-4F3F-AEAF-9FFB43A34385,D003A397-9ABD-45D0-A950-0B3E5E865C17,36A77C79-21AE-4646-96F0-02A718377050,4,4,NM,999999,,,999999,,,,,3,,1,0,0,0,0,0,3.58316888691761
14952,084BB27A-B86C-45DA-878F-1C9CEC24EA9C,T227,RNAV,L,,,17500,FT,999999,FT,999999,FT,5000,FT,999999,FT,,FT,999999,FT,0,44.69,30.85,224.9,211.91,,,10.41,,,R,R,,,,1035BBAA-5D1E-4D95-AFF9-A1669A18979A,A326336F-3D15-40DA-8D24-15A0D7D854B5,D003A397-9ABD-45D0-A950-0B3E5E865C17,36A77C79-21AE-4646-96F0-02A718377050,4,4,NM,999999,,,999999,,,,,3,,1,0,0,0,0,0,0.269158862628513
14953,1CF1B080-31DE-4EF9-A622-8C77A4B1358F,T227,RNAV,L,,,17500,FT,999999,FT,999999,FT,3600,FT,999999,FT,,FT,2300,FT,0,13.58,358.76,193.7,178.83,,,14.58,,,R,R,,,,C635D948-4999-43F2-821C-94F8410371AF,A1DC319E-9191-4CF4-9A4E-65ABEE591A3F,C6AAB304-895B-4F26-A00E-1F3C1E7E2AB9,3DB4A8E1-3FC3-4A46-B75D-1D5DA08F22AE,4,4,NM,999999,,,999999,,,,,3,,1,0,0,0,0,0,0.270148758384537
14954,ED055513-FFC7-4CC2-AD02-D9C68DBBAD46,T227,RNAV,L,,,17500,FT,999999,FT,999999,FT,11000,FT,999999,FT,,FT,8400,FT,0,358.45,343.64,178.34,163.89,,,100.17,,,R,R,,,,1BA19F18-F991-4250-A761-C8D8852BBF01,6B79F02C-D0CD-4CA0-8FC6-648DEC173FF7,198453E8-7FC4-4858-990A-FFFAF466D155,7EBD1B18-AA0A-4131-A18C-31E10C517AE4,4,4,NM,999999,,,999999,,,,,3,,1,0,0,0,0,0,1.66693091804618
14955,F6478837-F000-4E04-B857-3762EA97F7A4,T227,RNAV,L,,,17500,FT,999999,FT,999999,FT,2100,FT,999999,FT,,FT,1500,FT,0,26.88,13.67,207.78,194.16,,,66.84,,,R,R,,,,76BA6D3D-6FD8-4697-B7AC-BF4A3E3DE46A,3AA8BD4D-ACF8-4C22-B49E-6BA11CABAA7B,D003A397-9ABD-45D0-A950-0B3E5E865C17,36A77C79-21AE-4646-96F0-02A718377050,4,4,NM,999999,,,999999,,,,,3,,1,0,0,0,0,0,1.42674427133177
14956,EE79FC5E-29D0-4F3B-B13A-8183B5E5EA98,T227,RNAV,L,,,17500,FT,999999,FT,999999,FT,3400,FT,999999,FT,,FT,999999,FT,0,38.85,28.08,220.6,209,,,105.17,,,R,R,,,,441B7AE7-47ED-4F3F-AEAF-9FFB43A34385,1AF48660-85F6-4AC2-8BC7-AE1098966961,D003A397-9ABD-45D0-A950-0B3E5E865C17,36A77C79-21AE-4646-96F0-02A718377050,4,4,NM,999999,,,999999,,,,,3,,1,0,0,0,0,0,2.47789450279098
14957,34B9971A-0133-4265-B8D8-3AB5028C6158,T227,RNAV,L,,,17500,FT,999999,FT,999999,FT,5600,FT,999999,FT,,FT,999999,FT,0,42.66,30.85,223.42,211.91,,,40.73,,,R,R,,,,AFE28332-7B30-4742-AC5F-4F5E81FC8CF0,738351A8-5A88-4334-8C1C-EDF1DE0A8634,D003A397-9ABD-45D0-A950-0B3E5E865C17,36A77C79-21AE-4646-96F0-02A718377050,4,4,NM,999999,,,999999,,,,,3,,1,0,0,0,0,0,1.01911760008885
14958,071B17A4-1098-4251-BDE5-9EEB54B1F036,T267,RNAV,L,,,17500,FT,999999,FT,999999,FT,2300,FT,999999,FT,,FT,1300,FT,0,66.31,58.59,251.56,241.29,,,122.63,,,R,R,,,,12EE5FC6-8BC8-4811-A8E5-FB9204564F50,D2305BA7-6091-42B3-8C0A-798222C15A5F,2BDE5D43-AD21-4E50-88CA-8AB45A358E95,75913D71-7D8B-4B09-9F44-ADC0ED95DC76,4,4,NM,999999,,,999999,,,,,1,,1,0,0,0,0,0,5.62688641415923
