Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
4627222,367416420,2023-09-01 00:18:58,21.31393,-157.87914,5.4,307.4,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
1678427,366873510,2023-09-01 00:19:04,21.3098,-157.86563,0.0,204.9,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
2740046,338431599,2023-09-01 00:19:07,21.19122,-157.84642,2.9,148.1,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
512392,368926457,2023-09-01 00:19:10,21.35483,-157.95105,0.0,157.6,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
6356393,367433780,2023-09-01 00:19:44,21.30627,-157.86495,0.0,254.0,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
3450333,367151310,2023-09-01 00:19:49,21.31012,-157.86578,0.1,235.3,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328228,366972620,2023-09-01 00:20:00,21.31407,-157.87957,4.0,308.3,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
4627223,367416420,2023-09-01 00:20:07,21.31493,-157.88047,3.8,310.6,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
2740051,338431599,2023-09-01 00:20:10,21.19037,-157.84619,3.2,150.0,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
6416226,533180021,2023-09-01 00:20:14,21.32311,-158.11355,0.0,126.1,43.0,MMA VALOUR,IMO9651929,9WNE6,90.0,5.0,84.0,20.0,5.6,90.0,A
1678428,366873510,2023-09-01 00:20:14,21.30981,-157.86564,0.0,172.2,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
512393,368926457,2023-09-01 00:20:20,21.35482,-157.95106,0.0,198.5,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
6356394,367433780,2023-09-01 00:20:54,21.30627,-157.86496,0.1,274.8,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
3450334,367151310,2023-09-01 00:20:59,21.31012,-157.86579,0.0,260.9,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328230,366972620,2023-09-01 00:21:09,21.3149,-157.88024,3.3,341.0,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
4627224,367416420,2023-09-01 00:21:18,21.31515,-157.88124,1.2,274.9,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
1678429,366873510,2023-09-01 00:21:24,21.30981,-157.86559,0.0,294.6,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
512394,368926457,2023-09-01 00:21:30,21.35481,-157.95103,0.0,175.3,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
2740055,338431599,2023-09-01 00:21:37,21.18913,-157.84577,3.2,148.3,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
3450335,367151310,2023-09-01 00:22:09,21.31012,-157.86582,0.0,290.2,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
4627226,367416420,2023-09-01 00:22:19,21.31506,-157.88127,0.3,75.9,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
2328232,366972620,2023-09-01 00:22:21,21.31586,-157.88071,2.3,321.4,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
6356395,367433780,2023-09-01 00:22:23,21.30627,-157.86494,0.0,0.0,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
1678430,366873510,2023-09-01 00:22:34,21.30979,-157.86565,0.0,290.0,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
2740057,338431599,2023-09-01 00:22:39,21.18831,-157.84551,3.1,148.4,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
512395,368926457,2023-09-01 00:22:39,21.35487,-157.95101,0.0,82.9,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
985224,338431603,2023-09-01 00:22:42,19.1108,-156.28309,0.7,341.8,511.0,SD-1091 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
6416227,533180021,2023-09-01 00:23:09,21.32309,-158.1135,0.0,126.1,44.0,MMA VALOUR,IMO9651929,9WNE6,90.0,5.0,84.0,20.0,5.6,90.0,A
4270381,366766970,2023-09-01 00:23:18,21.30933,-157.87104,0.0,277.4,119.0,KEKOA,IMO7404085,WDK5246,52.0,5.0,36.0,10.0,4.6,52.0,A
3450336,367151310,2023-09-01 00:23:20,21.31014,-157.86581,0.0,258.7,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
4627227,367416420,2023-09-01 00:23:28,21.31532,-157.88099,1.9,23.8,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
2328234,366972620,2023-09-01 00:23:31,21.3164,-157.8811,1.7,338.8,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
6356396,367433780,2023-09-01 00:23:34,21.30627,-157.86494,0.0,273.4,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
2740061,338431599,2023-09-01 00:23:43,21.18746,-157.84518,3.1,147.1,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
1678431,366873510,2023-09-01 00:23:43,21.30981,-157.86561,0.0,297.9,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
512396,368926457,2023-09-01 00:23:50,21.35489,-157.951,0.0,177.9,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
3450337,367151310,2023-09-01 00:24:29,21.31012,-157.86579,0.0,255.2,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
4627228,367416420,2023-09-01 00:24:37,21.31613,-157.88105,3.1,353.6,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
