MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType,Length,Width
3,1737971938.6,870.0000005157214,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971938.6,870.0000005157214,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971939.0,832.971374483016,320.48060819729466,49.96,91.275,91.275,CAR,car,10.0,3.333
2,1737971939.0,860.4053399672935,132.8444434703479,49.153,138.209,138.209,CAR,car,10.0,3.333
3,1737971939.0,890.0000003094328,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971939.0,890.0000003094328,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971939.4,852.9586011695676,320.1564078734604,49.975,90.929,90.929,CAR,car,10.0,3.333
2,1737971939.4,873.063880154345,117.6467151482085,49.448,140.208,140.208,CAR,car,10.0,3.333
3,1737971939.4,910.0000001856597,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971939.4,910.0000001856597,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971939.8,872.9508929620667,319.9352886386865,49.984,90.634,90.634,CAR,car,10.0,3.333
2,1737971939.8,885.3141276104241,102.02194054082842,49.636,141.903,141.903,CAR,car,10.0,3.333
3,1737971939.8,930.0000001113958,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971939.8,930.0000001113958,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971940.2,892.946266999852,319.8066918279436,49.989,90.368,90.368,CAR,car,10.0,3.333
2,1737971940.2,900.5207470347646,91.13847901088774,46.75,125.592,125.592,CAR,car,10.0,3.333
3,1737971940.2,950.0000000668375,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971940.2,950.0000000668375,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971940.6,912.943478380177,319.74397941108754,49.993,90.18,90.18,CAR,car,10.0,3.333
2,1737971940.6,917.5950381247465,83.71822184406527,46.542,113.489,113.489,CAR,car,10.0,3.333
3,1737971940.6,970.0000000401026,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971940.6,970.0000000401026,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
