mmsi,year,flag_ais,flag_registry,flag_gfw,vessel_class_inferred,vessel_class_inferred_score,vessel_class_registry,vessel_class_gfw,self_reported_fishing_vessel,length_m_inferred,length_m_registry,length_m_gfw,engine_power_kw_inferred,engine_power_kw_registry,engine_power_kw_gfw,tonnage_gt_inferred,tonnage_gt_registry,tonnage_gt_gfw,registries_listed,active_hours,fishing_hours,vessel_class_mapped
441165258,2023,KOR,,KOR,trawlers,0.905,,trawlers,False,24.403,,24.403,409.877,,409.877,125.656,,125.656,,3010.725800000003,2368.7831,trawler
441166000,2023,KOR,KOR,KOR,tuna_purse_seines,0.812,tuna_purse_seines,tuna_purse_seines,True,79.538,76.4,76.4,3263.217,3931.1,3931.1,2104.107,1768.3,1768.3,FAO|FFA|IMO|IOTC|ISSF|ISSF2|ISSF3|ISSF4|WCPFC|WCPFC2,2116.0040000000004,215.51670000000004,purse_seiner
441182930,2023,KOR,,KOR,trawlers,0.957,,trawlers,True,32.847,,32.847,688.15,,688.15,300.105,,300.105,,4352.637299999999,3318.463799999998,trawler
441200001,2023,KOR,,KOR,drifting_longlines,0.908,,drifting_longlines,False,21.396,,21.396,223.899,,223.899,49.238,,49.238,,2923.4241999999977,1450.4323000000002,longliner
441200002,2023,KOR,,KOR,drifting_longlines,0.692,,drifting_longlines,False,21.178,,21.178,241.584,,241.584,47.494,,47.494,,2719.4146,1330.4293,longliner
441200005,2023,KOR,,KOR,drifting_longlines,0.862,,drifting_longlines,False,20.673,,20.673,242.753,,242.753,52.563,,52.563,,2389.6670000000017,1176.1837000000005,longliner
441200007,2023,KOR,,KOR,drifting_longlines,0.904,,drifting_longlines,False,21.911,,21.911,244.33,,244.33,55.201,,55.201,,2883.0289000000007,1667.4309000000003,longliner
441200009,2023,KOR,,KOR,drifting_longlines,0.609,,drifting_longlines,False,20.805,,20.805,229.218,,229.218,49.863,,49.863,,2917.899299999999,1414.5095000000006,longliner
441206000,2023,KOR,KOR,KOR,fishing,0.668,fishing,fishing,True,50.616,,50.616,1659.832,,1659.832,460.184,489.0,489.0,IMO,7263.9437,622.9340000000002,trawler
441209668,2023,KOR,,KOR,trawlers,1.0,,trawlers,True,37.64,,37.64,1001.773,,1001.773,360.626,,360.626,,370.3216,229.3333,trawler
441210490,2023,KOR,,KOR,trawlers,0.682,,trawlers,False,20.439,,20.439,165.707,,165.707,74.989,,74.989,,437.1078,41.1178,trawler
441212066,2023,KOR,,KOR,trawlers,1.0,,trawlers,True,33.983,,33.983,481.103,,481.103,258.583,,258.583,,1904.5492999999992,1545.6140999999998,trawler
441231998,2023,KOR,,KOR,trawlers,1.0,,trawlers,True,23.073,,23.073,191.751,,191.751,102.066,,102.066,,471.6413999999999,259.0366,trawler
441233000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines|set_longlines,drifting_longlines,True,50.189,50.3,50.3,774.344,742.6,742.6,440.811,445.7,445.7,CCSBT|FAO|FFA|IATTC|ICCAT|ICCAT2|IMO|IOTC|ISSF2|KOR|OPRT|OWNER|WCPFC|WCPFC2,8247.9671,5129.919899999999,longliner
441234516,2023,KOR,,KOR,drifting_longlines,0.701,,set_longlines,False,27.63,,27.63,869.323,,869.323,140.046,,140.046,,1213.4399000000003,777.4855,longliner
441236525,2023,KOR,,KOR,trawlers,0.861,,trawlers,False,25.916,,25.916,512.567,,512.567,268.599,,268.599,,2937.2069,2227.539499999999,trawler
441242000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines|set_longlines,drifting_longlines,True,49.31,53.3,53.3,761.336,742.2,742.2,439.007,453.8,453.8,CCSBT|FAO|IATTC|ICCAT|ICCAT2|IMO|IOTC|ISSF2|KOR|OPRT|OWNER|WCPFC|WCPFC2,4376.9739,1473.7816000000005,longliner
441250099,2023,KOR,,KOR,trawlers,1.0,,trawlers,True,29.946,,29.946,172.3,,172.3,127.76,,127.76,,312.4081,261.8238,trawler
441251000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines,drifting_longlines,True,51.837,52.4,52.4,805.526,888.6,888.6,491.463,483.5,483.5,FFA|IATTC|IMO|ISSF2|KOR|OPRT|REV|WCPFC|WCPFC2,8654.353199999994,5281.306499999999,longliner
441252588,2023,KOR,,KOR,trawlers,0.998,,trawlers,True,29.601,,29.601,555.601,,555.601,145.297,,145.297,,1042.3831,724.6617000000001,trawler
